feature,importance
g__ADurb.Bin063-1,0.0019364527152724979
g__Abiotrophia,0.0028664323873645856
g__Absconditabacteriales_(SR1)_unclassified,0.0015866556557970499
g__Acetatifactor,0.0010500091195782967
g__Acetobacter,0.001374999270215261
g__Acholeplasma,0.0007364864375927189
g__Acidaminococcus,0.0014354509975988364
g__Acidibacter,0.0014523363773439727
g__Acidipila,0.0008778649139893406
g__Acidithiobacillus,0.00176694442973297
g__Acidobacteria_unclassified,0.0006331530863052378
g__Acidobacteriaceae_unclassified,0.0013963824394601545
g__Acidobacteriales_unclassified,0.0020741411308085453
g__Acidovorax,0.0013472037344487364
g__Acinetobacter,0.001021526063172094
g__Actinobacillus,0.0009385417645403729
g__Actinobacteria_unclassified,0.003017531701676299
g__Actinomyces,0.0009380883473644676
g__Actinomycetaceae_unclassified,0.00100352004135689
g__Actinomycetales_unclassified,0.0011124321422307374
g__Actinomycetospora,0.0019758224588556504
g__Adlercreutzia,0.0010304883709185315
g__Aeriscardovia,0.0011623127963019551
g__Aerococcaceae_unclassified,0.001652119157833896
g__Aeromonas,0.0012407358048131115
g__Agathobacter,0.0017999173691698276
g__Aggregatibacter,0.0020416985362772875
g__Akkermansia,0.0011433933703584444
g__Alistipes,0.0012078515176113626
g__Alkanindiges,0.0009616458811105999
g__Allisonella,0.0014115154659727531
g__Allobaculum,0.0012103424415385155
g__Alloprevotella,0.0014921951922839487
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.001923810403729936
g__Alloscardovia,0.002764443040675361
g__Alphaproteobacteria_unclassified,0.0017135847449962895
g__Alsobacter,0.0009657136093666461
g__Altererythrobacter,0.0010119559344533432
g__Alysiella,0.0017078813359885346
g__Aminicenantales_unclassified,0.0015798957511347946
g__Anaerococcus,0.002940662193495056
g__Anaeroglobus,0.001586141913610202
g__Anaerolineaceae_unclassified,0.0038472745275105434
g__Anaeroplasma,0.0031781170179562028
g__Anaerostipes,0.0017587526634977044
g__Anaerotaenia,0.0007465174296639635
g__Anaerotruncus,0.0009610473736652756
g__Anaerovorax,0.0013831441969139027
