accuracy_random,precision_random,recall_random,f1_score_random
0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645
0.41935483870967744,0.41935483870967744,0.41935483870967744,0.41935483870967744
0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5483870967741935
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5483870967741935
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
0.6451612903225806,0.6451612903225806,0.6451612903225806,0.6451612903225806
0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5483870967741935
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
0.41935483870967744,0.41935483870967744,0.41935483870967744,0.41935483870967744
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5483870967741935
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
0.6129032258064516,0.6129032258064516,0.6129032258064516,0.6129032258064516
0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
0.41935483870967744,0.41935483870967744,0.41935483870967744,0.41935483870967744
0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
0.41935483870967744,0.41935483870967744,0.41935483870967744,0.41935483870967744
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226
0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5483870967741935
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
0.6451612903225806,0.6451612903225806,0.6451612903225806,0.6451612903225806
0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
0.6129032258064516,0.6129032258064516,0.6129032258064516,0.6129032258064516
0.6129032258064516,0.6129032258064516,0.6129032258064516,0.6129032258064516
0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645
0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096
0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
0.6129032258064516,0.6129032258064516,0.6129032258064516,0.6129032258064516
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226
0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645
0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645
0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
0.6129032258064516,0.6129032258064516,0.6129032258064516,0.6129032258064516
0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226
0.6129032258064516,0.6129032258064516,0.6129032258064516,0.6129032258064516
0.6129032258064516,0.6129032258064516,0.6129032258064516,0.6129032258064516
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5483870967741935
0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5483870967741935
0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5483870967741935
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645
0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226
0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645
0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
