feature,importance
g__ADurb.Bin063-1,0.003165621991407695
g__Abiotrophia,0.0025114314401532916
g__Absconditabacteriales_(SR1)_unclassified,0.0017296590959867406
g__Acetatifactor,0.000960922892340093
g__Acetobacter,0.0006928860940206183
g__Acholeplasma,0.0015750422850278048
g__Acidaminococcus,0.0015298314691175967
g__Acidibacter,0.003900174041258285
g__Acidipila,0.0009740308699983061
g__Acidithiobacillus,0.0009061905520964256
g__Acidobacteria_unclassified,0.0017584320472113137
g__Acidobacteriaceae_unclassified,0.0012173123505387518
g__Acidobacteriales_unclassified,0.001710842671668258
g__Acidovorax,0.0021413226312520504
g__Acinetobacter,0.0014382266784207978
g__Actinobacillus,0.0009742709792817744
g__Actinobacteria_unclassified,0.004199856095037031
g__Actinomyces,0.002756581376965271
g__Actinomycetaceae_unclassified,0.001313560782827623
g__Actinomycetales_unclassified,0.0009933599903819818
g__Actinomycetospora,0.0011874234786807068
g__Adlercreutzia,0.0014086503997092527
g__Aeriscardovia,0.0006439087704236394
g__Aerococcaceae_unclassified,0.0019848480426147576
g__Aeromonas,0.0012389745057263563
g__Agathobacter,0.001272857412377746
g__Aggregatibacter,0.0024413443895567703
g__Akkermansia,0.001371936791671158
g__Alistipes,0.0008815763506173935
g__Alkanindiges,0.0008545401587279987
g__Allisonella,0.0012054397011212418
g__Allobaculum,0.0015317778825525248
g__Alloprevotella,0.001386532916451613
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.002568024075959023
g__Alloscardovia,0.0018101518743377691
g__Alphaproteobacteria_unclassified,0.002173523414373816
g__Alsobacter,0.0018203265872088342
g__Altererythrobacter,0.0013544223581903258
g__Alysiella,0.0034653677042335513
g__Aminicenantales_unclassified,0.0019725733074940953
g__Anaerococcus,0.002772845214971105
g__Anaeroglobus,0.00163945677794651
g__Anaerolineaceae_unclassified,0.0025242232649165886
g__Anaeroplasma,0.000858531848668709
g__Anaerostipes,0.0021493771040115143
g__Anaerotaenia,0.0012830854522626791
g__Anaerotruncus,0.0014396305833171779
g__Anaerovorax,0.0011615209767972567
g__Angelakisella,0.0015063306870296332
g__Aquabacterium,0.0013818090676392402
g__Aquincola,0.0018917279052653307
g__Arcobacter,0.0013426589597480359
g__Asaccharobacter,0.0011712393811323075
g__Asticcacaulis,0.003547838803109022
g__Atopobiaceae_unclassified,0.0016231111715177386
g__Atopobium,0.0017515132905841907
g__Azohydromonas,0.0014864671770296433
g__Azospira,0.0030441827022922967
g__Azospirillum,0.002286877664437457
g__Bacillales_unclassified,0.0014103093758181928
g__Bacilli_unclassified,0.0025804976492402407
g__Bacillus,0.0014387963571153904
g__Bacteriovorax,0.0007561094043080249
g__Bacteroidales_unclassified,0.003968909704154203
g__Bacteroides,0.002018574114424537
g__Bacteroidetes_unclassified,0.0012838138394759854
g__Barnesiella,0.0033244880627223065
g__Bavariicoccus,0.0010243311626692226
g__Bdellovibrio,0.001709716617173448
g__Beijerinckiaceae_unclassified,0.0010461342913739978
g__Bergeyella,0.0012269500126291526
g__Betaproteobacteria_unclassified,0.0017682571521562063
g__Bifidobacterium,0.001550934449212936
g__Bilophila,0.0033206876913507164
g__Blautia,0.0005419479262732552
g__Blvii28_wastewater-sludge_group,0.0019250358802632074
g__Bordetella,0.0011827596915050594
g__Bosea,0.001533378016420492
g__Bradyrhizobium,0.0021529739125012654
g__Brevibacterium,0.0018094804268679943
g__Brevundimonas,0.0016916638972336497
g__Bryobacter,0.0017269678816103293
g__Bulleidia,0.0010059839830556664
g__Burkholderia-Caballeronia-Paraburkholderia,0.001234083647146247
g__Burkholderiaceae_unclassified,0.0012954358118555248
g__Burkholderiales_unclassified,0.0012866330577740604
g__Butyricicoccus,0.0026391050879588356
g__Butyricimonas,0.0021920188659993794
g__Butyrivibrio_2,0.0011315221458841293
g__C1-B045,0.0020444026668794044
g__C39,0.0011639080027754539
g__CAG-56,0.0014142598069935644
g__Caenimonas,0.0023131720462824805
g__Campylobacter,0.0017526182108299065
g__Candidatus_Arthromitus,0.0009382178496668724
g__Candidatus_Endomicrobium,0.0028526974065552543
g__Candidatus_Pacebacteria_unclassified,0.0015798444798787335
g__Candidatus_Saccharibacteria_unclassified,0.0013113600737492753
