feature,importance
g__ADurb.Bin063-1,0.0015289542527935557
g__Abiotrophia,0.005385271105609268
g__Absconditabacteriales_(SR1)_unclassified,0.001070493463299442
g__Acetatifactor,0.002110749587201783
g__Acholeplasma,0.0023479807799105007
g__Acidaminococcus,0.000891366006095513
g__Acidobacteria_unclassified,0.0028143843169090386
g__Acidobacteriaceae_unclassified,0.0034000107742916926
g__Acinetobacter,0.0020800824694845095
g__Actinobacillus,0.002006414098344528
g__Actinobacteria_unclassified,0.005755499208461424
g__Actinomyces,0.00358796708994694
g__Actinomycetaceae_unclassified,0.002347765045386474
g__Actinomycetospora,0.0027095699270275092
g__Adlercreutzia,0.0014997636904376735
g__Aerococcaceae_unclassified,0.0015440255005066735
g__Aeromonas,0.001376155641430687
g__Agathobacter,0.0034617302542984014
g__Aggregatibacter,0.003011438963893301
g__Akkermansia,0.0030948327510886093
g__Alistipes,0.001230107186545284
g__Alkanindiges,0.0016105348648190465
g__Alloprevotella,0.0024552568023450115
g__Alloscardovia,0.0021674664881428467
g__Alphaproteobacteria_unclassified,0.001464537341407873
g__Alsobacter,0.0011303468661031004
g__Altererythrobacter,0.0005638155756671856
g__Alysiella,0.0033302550202085625
g__Anaeroglobus,0.0017781500837502596
g__Anaerolineaceae_unclassified,0.002782546083207532
g__Anaerostipes,0.0030564623520945343
g__Anaerotaenia,0.0010630436024021681
g__Angelakisella,0.0009953050060665684
g__Arcobacter,0.00169193501094785
g__Asaccharobacter,0.000989407109369232
g__Atopobium,0.0010815821624500553
g__Azospira,0.00621721896528858
g__Bacillales_unclassified,0.0021026350347764285
g__Bacilli_unclassified,0.0021919715188291433
g__Bacillus,0.0024892777077496443
g__Bacteroidales_unclassified,0.004656237281596633
g__Bacteroides,0.0036291972799670515
g__Bacteroidetes_unclassified,0.0014171869910291728
g__Barnesiella,0.005004115918619732
g__Bdellovibrio,0.0034379408926437705
g__Beijerinckiaceae_unclassified,0.0014452674740435389
g__Bergeyella,0.0035226333345811495
g__Betaproteobacteria_unclassified,0.0007022811179651019
g__Bifidobacterium,0.0037310176418034993
g__Bilophila,0.002497666158896288
g__Blautia,0.004255837912204805
g__Blvii28_wastewater-sludge_group,0.0010064939907223863
g__Bradyrhizobium,0.001726134222562371
g__Brevundimonas,0.0020373193593249592
g__Bryobacter,0.0016588302853200664
g__Bulleidia,0.0010924055076271713
g__Burkholderia-Caballeronia-Paraburkholderia,0.0014336861970260485
g__Burkholderiaceae_unclassified,0.0025687997812861288
g__Burkholderiales_unclassified,0.002301044713952035
g__Butyricicoccus,0.00804406221177542
g__Butyricimonas,0.0025863317747424086
g__Butyrivibrio_2,0.001338412338887396
g__C1-B045,0.0032133115326035354
g__CAG-56,0.0019398852269086745
g__Caenimonas,0.001661432945086307
g__Campylobacter,0.0010033863689513783
g__Candidatus_Arthromitus,0.0024749604886661657
g__Candidatus_Endomicrobium,0.005070464317398089
g__Candidatus_Saccharibacteria_unclassified,0.0023820789752632987
g__Candidatus_Saccharimonas,0.0017914296493336003
g__Candidatus_Soleaferrea,0.003639996958329359
g__Candidatus_Solibacter,0.0014229178541386974
g__Capnocytophaga,0.005868695933835651
g__Cardiobacterium,0.002930070340364602
g__Catabacter,0.0016011807078706501
g__Catenibacterium,0.0020785710154043163
g__Catonella,0.0026968765422525553
g__Caulobacteraceae_unclassified,0.001123755589427852
g__Centipeda,0.0011900483230331447
g__Chitinophagaceae_unclassified,0.0023630991314633866
g__Chloroplast_unclassified,0.0006950649022550925
g__Christensenellaceae_R-7_group,0.001987392403808706
g__Chromobacterium,0.0041123736336520006
g__Citrobacter,0.003327487655168979
g__Clostridiales_Family_XIV._Incertae_Sedis_unclassified,0.0019814324218664636
g__Clostridiales_unclassified,0.0013988407406084573
g__Clostridiales_vadinBB60_group_unclassified,0.0019330573542468608
g__Clostridioides,0.002413405096825138
g__Clostridium,0.0018860315698660266
